UserID;medium;ledR;ledC;ledN;pledR;pledC;pledN;motorR;motorC;motorN;imotorR;imotorC;imotorN;thermalR;thermalC;thermalN;audioR;audioC;audioN
2;water;2;3;1;3;1;2;1;2;3;1;1;3;4;3;4;1;1;1
3;water;2;1;3;3;1;4;1;2;2;1;2;2;5;5;5;1;1;2
4;water;1;2;2;2;1;2;1;2;1;1;1;1;4;3;4;1;1;1
5;water;1;2;2;1;2;2;1;2;2;2;2;4;5;3;5;1;2;2
6;water;1;1;1;1;1;1;1;1;2;1;1;2;5;5;5;1;2;3
7;water;1;2;1;4;4;3;1;2;1;1;1;1;5;4;4;1;3;2
8;water;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;1;1
9;water;1;1;1;2;1;1;1;1;1;1;1;2;5;7;5;1;1;1
10;water;2;1;1;3;1;1;1;1;1;2;1;1;5;7;5;1;3;2
11;water;1;1;1;3;1;1;1;2;1;2;1;1;5;7;5;1;3;2
12;land;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
