UserID;medium;ledR;ledC;ledN;pledR;pledC;pledN;motorR;motorC;motorN;imotorR;imotorC;imotorN;thermalR;thermalC;thermalN;audioR;audioC;audioN;ratingLED;ratingPLED;ratingMotor;ratingSMotor;ratingPeltier;ratingSound
1;water;2;3;1;3;1;2;1;2;3;1;1;3;4;3;4;1;1;1;4;5;2;3;6;1
2;water;2;1;3;3;1;4;1;2;2;1;2;2;5;5;5;1;1;2;3;5;2;4;6;1
3;water;1;2;2;2;1;2;1;2;1;1;1;1;4;3;4;1;1;1;2;5;1;4;6;3
4;water;1;2;2;1;2;2;1;2;2;2;2;4;5;3;5;1;2;2;1;2;4;5;6;3
5;water;1;1;1;1;1;1;1;1;2;1;1;2;5;5;5;1;2;3;1;2;3;4;6;5
6;water;1;2;1;4;4;3;1;2;1;1;1;1;5;4;4;1;3;2;1;5;2;3;6;4
7;water;1;1;1;1;1;1;1;1;1;1;1;1;5;7;5;1;1;1;3;4;1;2;6;5
8;water;1;1;1;2;1;1;1;1;1;1;1;2;5;7;5;1;1;1;1;3;4;5;6;2
9;water;2;1;1;3;1;1;1;1;1;2;1;1;5;7;5;1;3;2;2;5;1;3;6;4
10;water;1;1;1;3;1;1;1;2;1;2;1;1;5;7;5;1;3;2;1;3;2;5;6;4
11;land;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2;4;3;6
