UserID;Medium;Condition;Time;Order
2;water;1;483;1
2;water;0;1751;2
2;water;1;477;3
2;water;1;378;4
2;water;2;450;5
2;water;0;700;6
2;water;4;2548;7
2;water;0;701;8
2;water;2;551;9
2;water;1;358;10
2;water;4;3046;11
2;water;4;6732;12
2;water;1;502;13
2;water;5;576;14
2;water;4;5600;15
2;water;0;902;16
2;water;2;400;17
2;water;1;612;18
2;water;4;9815;19
2;water;0;750;20
2;water;0;550;21
2;water;0;451;22
2;water;2;351;23
2;water;0;751;24
2;water;4;3017;25
2;water;5;523;26
2;water;2;499;27
2;water;5;387;28
2;water;4;1579;29
2;water;1;411;30
2;water;2;400;31
2;water;5;455;32
2;water;1;322;33
2;water;4;6436;34
2;water;1;359;1
2;water;0;800;2
2;water;1;356;3
2;water;1;375;4
2;water;2;551;5
2;water;0;750;6
2;water;4;4649;7
2;water;0;650;8
2;water;2;449;9
2;water;1;367;10
2;water;4;1225;11
2;water;4;3744;12
2;water;1;384;13
2;water;5;502;14
2;water;4;5211;15
2;water;0;600;16
2;water;2;400;17
2;water;1;386;18
2;water;4;6684;19
2;water;0;799;20
2;water;0;950;21
2;water;0;499;22
2;water;2;500;23
2;water;0;350;24
2;water;4;3480;25
2;water;5;569;26
2;water;2;451;27
2;water;5;421;28
2;water;4;1448;29
2;water;1;277;30
2;water;2;301;31
2;water;5;508;32
2;water;1;404;33
2;water;4;644;34
2;water;1;405;1
2;water;5;473;2
2;water;4;4194;3
2;water;4;15046;4
2;water;5;488;5
2;water;1;418;6
2;water;5;473;7
2;water;4;7587;8
2;water;1;410;9
2;water;5;674;10
2;water;4;47333;11
2;water;1;677;1
2;water;0;1001;2
2;water;1;459;3
2;water;1;477;4
2;water;4;1104;5
2;water;1;380;6
2;water;0;749;7
2;water;1;378;8
2;water;5;490;9
2;water;1;422;10
2;water;4;4016;11
2;water;1;454;12
2;water;1;1756;13
2;water;5;507;14
2;water;5;562;1
2;water;4;1731;2
2;water;5;259;3
2;water;0;650;4
2;water;0;550;5
2;water;1;379;6
2;water;1;365;7
2;water;1;340;8
2;water;0;499;9
2;water;4;2606;10
2;water;5;441;11
2;water;1;330;12
2;water;0;401;13
2;water;4;880;14
2;water;2;550;15
2;water;1;459;16
2;water;2;499;17
2;water;5;519;18
2;water;5;426;19
2;water;1;340;20
2;water;5;455;21
2;water;0;451;22
2;water;4;5859;23
2;water;5;542;24
2;water;4;2139;25
2;water;5;823;26
2;water;2;449;27
2;water;0;500;28
2;water;0;450;29
2;water;1;345;30
2;water;2;700;31
2;water;4;8103;32
2;water;2;600;33
2;water;0;500;34
2;water;4;5918;35
2;water;0;750;1
2;water;5;441;2
2;water;1;537;3
2;water;2;900;4
2;water;1;422;5
2;water;2;651;6
2;water;2;501;7
2;water;1;380;8
2;water;0;451;9
2;water;2;450;10
2;water;4;1265;11
2;water;5;490;12
2;water;4;3377;13
2;water;5;1547;14
2;water;4;2706;15
2;water;0;952;16
2;water;5;723;17
2;water;5;974;18
3;water;1;8921;1
3;water;0;1701;2
3;water;1;716;3
3;water;1;455;4
3;water;2;1400;5
